,entity_id,trip_update_trip_trip_id,trip_update_trip_start_time,trip_update_trip_start_date,trip_update_trip_route_id,trip_update_trip_direction_id,trip_update_vehicle_id,trip_update_vehicle_label,trip_update_trip_schedule_relationship,feed_message
0,62145526_2,62145526_2,15:01:00,20240606,37,0,y1715,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
1,61392224,61392224,15:00:00,20240606,44,1,y1884,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
2,61848878,61848878,14:59:00,20240606,88,0,y1978,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
3,61849139,61849139,14:50:00,20240606,350,1,y3151,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
4,61849892,61849892,14:30:00,20240606,78,0,y1977,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
5,61392381,61392381,14:48:00,20240606,7,0,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
6,61870249,61870249,14:22:00,20240606,111,1,y2084,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
7,61869527,61869527,14:35:00,20240606,96,0,y1408,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
8,61946080,61946080,14:43:00,20240606,742,0,y1323,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
9,61849671,61849671,13:38:00,20240606,70,0,y1959,1959,,trip_updates (2024-06-06 18:11:20.441111+00:00)
10,62144982,62144982,14:41:00,20240606,40,1,y1687,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
11,61848319,61848319,14:25:00,20240606,86,0,y2045,2045,,trip_updates (2024-06-06 18:11:20.441111+00:00)
12,61391078,61391078,13:46:00,20240606,22,1,y1869,1869,,trip_updates (2024-06-06 18:11:20.441111+00:00)
13,61849778,61849778,14:05:00,20240606,70,0,y3129,3129,,trip_updates (2024-06-06 18:11:20.441111+00:00)
14,61870351,61870351,14:05:00,20240606,89,1,y1994,1994,,trip_updates (2024-06-06 18:11:20.441111+00:00)
15,61946081,61946081,14:56:00,20240606,742,1,y1323,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
16,61848529,61848529,14:31:00,20240606,73,1,y3119,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
17,61945695,61945695,14:19:00,20240606,749,0,y1277,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
18,61945660,61945660,14:32:00,20240606,28,0,y1260,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
19,61391092,61391092,15:02:00,20240606,22,1,y1828,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
20,61946249,61946249,15:05:00,20240606,751,0,y1292,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
21,62146076,62146076,14:59:00,20240606,32,0,y1657,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
22,61849584,61849584,15:10:00,20240606,69,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
23,61391941,61391941,14:56:00,20240606,17,1,y1882,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
24,61394041,61394041,14:05:00,20240606,17,1,y3265,3265,,trip_updates (2024-06-06 18:11:20.441111+00:00)
25,61391555,61391555,14:30:00,20240606,9,1,y1918,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
26,61848718,61848718,15:10:00,20240606,62,0,y3159,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
27,61928600,61928600,14:25:00,20240606,201,0,y0777,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
28,61928717,61928717,13:51:00,20240606,211,1,y0791,0791,,trip_updates (2024-06-06 18:11:20.441111+00:00)
29,61392867,61392867,14:40:00,20240606,57,0,y1878,1878,,trip_updates (2024-06-06 18:11:20.441111+00:00)
30,61804595,61804595,15:06:00,20240606,Green-E,1,G-10162,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
31,CR-670118-084,CR-670118-084,13:05:00,20240606,CR-Greenbush,1,1845,1845,,trip_updates (2024-06-06 18:11:20.441111+00:00)
32,61869565,61869565,14:00:00,20240606,134,1,y0898,0898,,trip_updates (2024-06-06 18:11:20.441111+00:00)
33,62146196,62146196,13:43:00,20240606,34,1,y1668,1668,,trip_updates (2024-06-06 18:11:20.441111+00:00)
34,61869218,61869218,14:30:00,20240606,95,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
35,61848446,61848446,13:59:00,20240606,73,1,y1993,1993,,trip_updates (2024-06-06 18:11:20.441111+00:00)
36,62216402,62216402,14:20:00,20240606,429,0,y3300,3300,,trip_updates (2024-06-06 18:11:20.441111+00:00)
37,61869175,61869175,13:23:00,20240606,411,0,y0845,0845,,trip_updates (2024-06-06 18:11:20.441111+00:00)
38,61945697,61945697,15:07:00,20240606,749,0,y1277,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
39,61393237,61393237,13:55:00,20240606,65,0,y1906,1906,,trip_updates (2024-06-06 18:11:20.441111+00:00)
40,61393284,61393284,13:40:00,20240606,45,1,y1902,1902,,trip_updates (2024-06-06 18:11:20.441111+00:00)
41,62216283,62216283,14:37:00,20240606,119,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
42,61394304,61394304,14:07:00,20240606,57,0,y3213,3213,,trip_updates (2024-06-06 18:11:20.441111+00:00)
43,61946412,61946412,14:13:00,20240606,741,0,y1327,1327,,trip_updates (2024-06-06 18:11:20.441111+00:00)
