id,vehicle_trip_trip_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_trip_schedule_relationship,vehicle_trip_route_id,vehicle_trip_direction_id,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_bearing,vehicle_current_stop_sequence,vehicle_current_status,vehicle_timestamp,vehicle_stop_id,vehicle_vehicle_id,vehicle_vehicle_label,vehicle_occupancy_status,vehicle_occupancy_percentage,vehicle_multi_carriage_details,vehicle_position_speed
y1988,61848321,13:25:00,20240530,SCHEDULED,86,1.0,42.378365,-71.105934,0.0,13.0,STOPPED_AT,1717090458,2546,y1988,1988,MANY_SEATS_AVAILABLE,20.0,,
y3224,61394371,13:50:00,20240530,SCHEDULED,55,1.0,42.3406,-71.06435,45.0,1.0,STOPPED_AT,1717090452,1926,y3224,3224,,,,
y1327,61946809,12:47:00,20240530,SCHEDULED,743,0.0,42.38859,-71.02387,0.0,6.0,STOPPED_AT,1717090475,74637,y1327,1327,FEW_SEATS_AVAILABLE,40.0,,
y0898,61869238,13:15:00,20240530,SCHEDULED,132,1.0,42.45216,-71.07017,119.0,17.0,STOPPED_AT,1717090475,5980,y0898,0898,,,,
y1956,61849671,13:38:00,20240530,SCHEDULED,70,0.0,42.36107,-71.09326,0.0,1.0,STOPPED_AT,1717090470,730,y1956,1956,MANY_SEATS_AVAILABLE,0.0,,
y2034,61849362,13:09:00,20240530,SCHEDULED,77,1.0,42.390347,-71.121254,0.0,28.0,IN_TRANSIT_TO,1717090455,2300,y2034,2034,FEW_SEATS_AVAILABLE,40.0,,
y0827,61928910,13:15:00,20240530,SCHEDULED,216,0.0,42.265957,-70.96318,98.0,44.0,IN_TRANSIT_TO,1717090478,3255,y0827,0827,MANY_SEATS_AVAILABLE,20.0,,
y3124,61850095,13:28:00,20240530,SCHEDULED,78,1.0,42.410366,-71.18074,97.0,16.0,STOPPED_AT,1717090475,2326,y3124,3124,MANY_SEATS_AVAILABLE,0.0,,
y1319,61946092,13:39:00,20240530,SCHEDULED,742,0.0,42.35293,-71.05497,0.0,1.0,STOPPED_AT,1717090470,74611,y1319,1319,MANY_SEATS_AVAILABLE,0.0,,
B-547C942D,62248782,13:24:00,20240530,SCHEDULED,Blue,0.0,42.39721,-70.99258,210.0,20.0,STOPPED_AT,1717090463,70055,B-547C942D,0751,,,"[{'label': '0751', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 1}, {'label': '0750', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 2}, {'label': '0789', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 3}, {'label': '0788', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 4}, {'label': '0705', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 5}, {'label': '0704', 'occupancy_status': 'NO_DATA_AVAILABLE', 'carriage_sequence': 6}]",
